country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Chile|2020Q2|0.29502675642147097|0.0|44.09340659340659|70.53834933|63.89306764|19.238933|-40.61538461538461|-63.97802197802198|-44.72527472527472|75.99274725274725|-12.84692376
Chile|2020Q3|0.3666003722763627|0.0|89.1304347826087|70.53834933|63.89306764|19.238933|-32.68478260869565|-55.47826086956522|-38.17391304347826|83.66260869565217|5.25567168
Chile|2020Q4|0.20091111313400217|0.0|100.0|70.53834933|63.89306764|19.24221558695652|-15.141304347826088|-38.97826086956522|-22.391304347826086|79.46641304347825|6.6930441
Chile|2021Q1|0.3340168388087548|0.01706520533745296|100.0|70.53834933|63.89306764|19.540931|-16.788888888888888|-41.333333333333336|-23.733333333333334|79.17|3.74230952
Chile|2021Q2|0.48155330981927114|0.1762771691891241|100.0|70.53834933|63.89306764|19.540931|-13.307692307692308|-42.94505494505494|-21.98901098901099|82.45087912087912|1.50187924
Chile|2021Q3|0.25193272521150606|0.3127271674005706|31.52173913043478|70.53834933|63.89306764|19.540931|9.771739130434783|-13.98913043478261|-2.358695652173913|67.78608695652174|4.33157522
Chile|2021Q4|0.08427507276272715|0.3755765889490068|0.0|70.53834933|63.89306764|19.543037902173914|21.793478260869566|-0.06521739130434782|9.945652173913043|50.26260869565217|1.70278639
Colombia|2020Q1|0.0003239149789582805|0.0|8.241758241758241|62.73161261|49.25432434|49.395678000000004|-3.868131868131868|-10.483516483516484|-2.21978021978022|18.76175824175824|-2.02979311
Colombia|2020Q2|0.06717186876147342|0.0|73.35164835164835|62.73161261|49.25432434|49.395678000000004|-43.05494505494506|-66.20879120879121|-48.91208791208791|87.23186813186814|-15.87449798
Colombia|2020Q3|0.45882556769440436|0.0|75.0|62.73161261|49.25432434|49.395678|-24.25|-48.41304347826087|-30.847826086956523|81.90739130434783|10.64636076
Colombia|2020Q4|0.348392936137905|0.0|75.0|62.73161261|49.25432434|49.406294804347816|0.43478260869565216|-30.641304347826086|-17.043478260869566|64.65608695652173|5.74391544
Colombia|2021Q1|0.4011917314124093|7.9011484537651e-05|75.0|62.73161261|49.25432434|50.37242400000001|-1.3888888888888888|-34.06666666666667|-18.833333333333332|79.63133333333333|3.29198821
Colombia|2021Q2|0.8560636271941172|0.007872561383982634|75.0|62.73161261|49.25432434|50.372423999999995|9.472527472527473|-26.0|-15.659340659340659|68.43626373626374|-2.21366532
Colombia|2021Q3|0.39217886357821496|0.03475651677989529|75.0|62.73161261|49.25432434|50.372424|30.695652173913043|-1.5978260869565217|1.8695652173913044|48.85478260869564|6.434229299999999
Colombia|2021Q4|0.07231052079962272|0.062350598720539704|64.67391304347827|62.73161261|49.25432434|50.3797835|46.82608695652174|15.054347826086957|9.391304347826088|50.445543478260866|2.85988609
Croatia|2020Q1|0.0014759229007395111|0.0|10.302197802197803|61.93813062|51.77383323|4.065253|-3.1648351648351647|-6.362637362637362|-8.010989010989011|21.917912087912086|-0.69987744
Croatia|2020Q2|0.024844702162448436|0.0|87.5|61.93813062|51.77383323|4.06505989010989|-15.989010989010989|-30.593406593406595|-31.945054945054945|73.82065934065935|-13.83772287
Croatia|2020Q3|0.04274053284844652|0.0|80.97826086956522|61.938130619999995|51.773833229999994|4.04768|11.58695652173913|11.380434782608695|-17.17391304347826|36.817173913043476|3.2810219600000003
Croatia|2020Q4|0.8992805755395684|0.0|42.391304347826086|61.938130619999995|51.773833229999994|4.04768|-0.8913043478260869|-26.77173913043478|-23.67391304347826|40.789565217391306|5.21091379
